country,crop,year,month,price,temperature,rainfall
Peru,Potatoes,2015,3,1.9,20.2532,187.53900000000002
Peru,Potatoes,2015,4,1.83,20.0185,179.83700000000002
Peru,Potatoes,2015,5,1.66,20.0984,109.179
Peru,Potatoes,2015,6,1.56,19.7564,68.5707
Peru,Potatoes,2015,7,1.49,19.0715,102.385
Peru,Potatoes,2015,8,1.52,20.1966,58.217
Peru,Potatoes,2015,9,1.56,20.8076,57.6487
Peru,Potatoes,2015,10,1.72,20.8017,64.1029
Peru,Potatoes,2015,11,2.17,21.0716,99.1171
Peru,Potatoes,2015,12,2.49,20.7846,151.336
